epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.951,0.9258,2.69606,1.32501,0.71105,0.54926,0.65699,0.44947,1.17259,3.04402,1.95012,0.000328431,0.000328431,0.000328431
2,1857.98,0.94453,1.82068,1.30159,0.77731,0.50238,0.66204,0.44099,1.13699,2.62006,1.82546,0.000639926,0.000639926,0.000639926
3,3111.15,0.9682,1.68548,1.30603,0.57031,0.56381,0.54746,0.34911,1.28096,2.78206,1.9563,0.000929422,0.000929422,0.000929422
4,4181.26,0.94616,1.55863,1.29859,0.5034,0.63057,0.62649,0.41238,1.41537,2.4991,2.05649,0.000901,0.000901,0.000901
5,4977.5,0.95386,1.52252,1.31409,0.74405,0.65539,0.67039,0.45905,1.19377,2.2677,1.87694,0.000868,0.000868,0.000868
6,5608.68,0.9013,1.41993,1.28096,0.59659,0.63424,0.64176,0.40277,1.34658,2.38958,1.90057,0.000835,0.000835,0.000835
7,6500.43,0.87281,1.33101,1.25634,0.83818,0.58147,0.71883,0.4423,1.31355,1.80223,2.03907,0.000802,0.000802,0.000802
8,7059.44,0.85738,1.23924,1.23471,0.71124,0.73259,0.78176,0.54297,1.12409,1.80649,1.69172,0.000769,0.000769,0.000769
9,7904.4,0.80121,1.14358,1.20825,0.82549,0.70629,0.768,0.56371,1.21669,1.62859,1.91789,0.000736,0.000736,0.000736
10,8999.26,0.81428,1.13778,1.22016,0.81786,0.7904,0.83438,0.59527,1.06292,1.40918,1.71947,0.000703,0.000703,0.000703
11,10010.2,0.80905,1.06251,1.19136,0.86381,0.76473,0.84439,0.62782,0.95897,1.29838,1.53354,0.00067,0.00067,0.00067
12,40706.2,0.76572,0.99638,1.17612,0.89289,0.81667,0.85428,0.64618,0.94547,1.16657,1.52851,0.000637,0.000637,0.000637
13,87304.2,0.74647,0.97099,1.16853,0.75765,0.7806,0.79974,0.57018,0.99686,1.324,1.61458,0.000604,0.000604,0.000604
14,88224,0.7226,0.942,1.14524,0.75972,0.78994,0.79775,0.56646,0.98668,1.27331,1.58648,0.000571,0.000571,0.000571
15,88846.2,0.72479,0.92646,1.16917,0.86321,0.81866,0.86974,0.67656,0.8367,1.06079,1.44826,0.000538,0.000538,0.000538
16,89521.8,0.6869,0.83709,1.12833,0.87518,0.82531,0.84952,0.68129,0.89191,1.00647,1.51973,0.000505,0.000505,0.000505
17,90205.6,0.69212,0.86174,1.14275,0.90158,0.83331,0.88544,0.70365,0.85691,0.93646,1.47514,0.000472,0.000472,0.000472
18,93328.5,0.68284,0.83003,1.13014,0.84965,0.85005,0.88801,0.69321,0.87101,0.96743,1.50266,0.000439,0.000439,0.000439
19,93900.5,0.65074,0.77941,1.1118,0.87949,0.82021,0.86651,0.68886,0.85659,0.89724,1.45107,0.000406,0.000406,0.000406
20,94481.9,0.65073,0.75756,1.10857,0.91314,0.84121,0.89083,0.69384,0.84879,0.93081,1.50522,0.000373,0.000373,0.000373
21,95526.7,0.5526,0.74102,1.05334,0.90983,0.84267,0.88565,0.69183,0.79068,0.92756,1.36959,0.00034,0.00034,0.00034
22,96497.7,0.51955,0.64179,1.03487,0.90877,0.8315,0.87605,0.72304,0.69561,0.85199,1.30136,0.000307,0.000307,0.000307
23,97439.6,0.50097,0.61428,1.01049,0.92226,0.84498,0.89371,0.74091,0.68459,0.80619,1.26971,0.000274,0.000274,0.000274
24,98421.1,0.4713,0.54965,1.01168,0.92947,0.84034,0.87019,0.72698,0.69656,0.80206,1.27363,0.000241,0.000241,0.000241
25,99382.7,0.45435,0.53081,0.98937,0.93878,0.83514,0.88258,0.73583,0.70989,0.77736,1.30593,0.000208,0.000208,0.000208
26,100373,0.4421,0.50953,0.97008,0.85965,0.89249,0.89866,0.75873,0.629,0.73852,1.24162,0.000175,0.000175,0.000175
27,101438,0.41396,0.50389,0.9622,0.93012,0.88396,0.88987,0.76454,0.61877,0.69978,1.22064,0.000142,0.000142,0.000142
28,102360,0.39737,0.45959,0.94877,0.94306,0.84131,0.89928,0.76148,0.62058,0.7017,1.2176,0.000109,0.000109,0.000109
29,137961,0.40436,0.46971,0.95442,0.92042,0.86279,0.88992,0.76505,0.59831,0.68561,1.18437,7.60E-05,7.60E-05,7.60E-05
30,140920,0.3896,0.44879,0.94959,0.92295,0.85401,0.89029,0.77212,0.58236,0.67637,1.17544,4.30E-05,4.30E-05,4.30E-05
